epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,39370.8,1.59013,0.8727,1.21701,0.81974,0.69414,0.74105,0.38492,1.68506,0.85451,1.28298,0.000312497,0.000312497,0.000312497
43,40307,1.58574,0.87244,1.21598,0.85515,0.65775,0.73665,0.38686,1.68036,0.84875,1.28438,0.000307289,0.000307289,0.000307289
44,41243.3,1.57378,0.85999,1.20645,0.81802,0.69437,0.7401,0.38678,1.68857,0.85013,1.27926,0.000302082,0.000302082,0.000302082
45,42209.6,1.57138,0.86326,1.19733,0.82141,0.69009,0.74452,0.37835,1.6972,0.84147,1.2951,0.000296874,0.000296874,0.000296874
46,43148.7,1.56758,0.86096,1.19431,0.82395,0.68331,0.73641,0.38509,1.70307,0.84228,1.2811,0.000291667,0.000291667,0.000291667
47,44119,1.5743,0.84695,1.20782,0.86538,0.68768,0.74887,0.39315,1.68805,0.84011,1.28497,0.00028646,0.00028646,0.00028646
48,45128,1.56816,0.85292,1.20164,0.82147,0.6907,0.76859,0.39729,1.70414,0.84945,1.29575,0.000281252,0.000281252,0.000281252
49,46171.9,1.559,0.84584,1.19998,0.764,0.69029,0.74824,0.38493,1.69133,0.83257,1.28244,0.000276045,0.000276045,0.000276045
50,47213.5,1.56143,0.83611,1.18994,0.82916,0.68877,0.74609,0.38883,1.69832,0.84011,1.28967,0.000270837,0.000270837,0.000270837
51,48213.3,1.54555,0.83582,1.19904,0.82303,0.70359,0.74477,0.38661,1.70006,0.84784,1.28169,0.00026563,0.00026563,0.00026563
52,49180.1,1.54783,0.83329,1.19441,0.85012,0.67522,0.77931,0.40802,1.6957,0.81955,1.28847,0.000260423,0.000260423,0.000260423
53,50143.1,1.54116,0.82087,1.18822,0.8233,0.69195,0.75086,0.38371,1.70393,0.83891,1.28401,0.000255215,0.000255215,0.000255215
54,51190.2,1.53658,0.82065,1.18323,0.81394,0.6903,0.77405,0.40972,1.69644,0.82167,1.279,0.000250008,0.000250008,0.000250008
55,52210.3,1.5384,0.81497,1.17332,0.82764,0.71253,0.75628,0.38718,1.69367,0.80535,1.27912,0.0002448,0.0002448,0.0002448
56,53200,1.52781,0.80382,1.18269,0.82545,0.70065,0.75055,0.38217,1.70345,0.819,1.29015,0.000239593,0.000239593,0.000239593
57,54257.7,1.52014,0.79639,1.18049,0.8455,0.68329,0.77653,0.41532,1.68248,0.80893,1.27681,0.000234386,0.000234386,0.000234386
58,55274.1,1.52146,0.80335,1.1761,0.83724,0.70818,0.79152,0.41657,1.68858,0.80526,1.28777,0.000229178,0.000229178,0.000229178
59,56246.3,1.52855,0.80361,1.18143,0.83585,0.70684,0.78284,0.40449,1.6998,0.80208,1.28683,0.000223971,0.000223971,0.000223971
60,57224.7,1.5177,0.80422,1.17145,0.73094,0.78807,0.78231,0.40413,1.69877,0.8063,1.286,0.000218763,0.000218763,0.000218763
61,58205.3,1.52027,0.80376,1.17878,0.87388,0.67118,0.77717,0.39576,1.69566,0.80327,1.28807,0.000213556,0.000213556,0.000213556
62,59183.2,1.52019,0.79804,1.17966,0.84858,0.7033,0.79424,0.41513,1.68511,0.78342,1.27522,0.000208349,0.000208349,0.000208349
63,60161.2,1.49796,0.77958,1.16291,0.84395,0.69841,0.76526,0.40327,1.68675,0.79858,1.27452,0.000203141,0.000203141,0.000203141
64,61143,1.50017,0.78718,1.17457,0.85587,0.69532,0.7977,0.42006,1.70636,0.78591,1.29579,0.000197934,0.000197934,0.000197934
65,62113.4,1.50812,0.77858,1.16689,0.85369,0.7057,0.76606,0.40672,1.67707,0.78772,1.27582,0.000192726,0.000192726,0.000192726
66,63078.9,1.4957,0.76815,1.16603,0.86337,0.69046,0.79264,0.41904,1.69676,0.78521,1.28915,0.000187519,0.000187519,0.000187519
67,64046.4,1.5043,0.78345,1.17432,0.8547,0.70246,0.78551,0.41711,1.6868,0.77965,1.28702,0.000182312,0.000182312,0.000182312
68,65016.2,1.49544,0.76781,1.16521,0.7322,0.78452,0.78965,0.41691,1.68983,0.77905,1.28649,0.000177104,0.000177104,0.000177104
69,65983.8,1.48594,0.76664,1.16096,0.82924,0.70831,0.79222,0.41468,1.6862,0.77096,1.28443,0.000171897,0.000171897,0.000171897
70,66946.7,1.49116,0.76166,1.1656,0.82806,0.718,0.79282,0.41704,1.68755,0.77965,1.27507,0.000166689,0.000166689,0.000166689
